"SampleDate","DWC_Month","DWC_Year","StationCode","StationName","ProjectCode","ProjectName","ProtocolCode","EventCode","AgencyCode","SampleComments","LocationCode","CollectionTime","CollectionMethodCode","Replicate","CollectionDepth","SampleComplete","Region","DWC_SamplePurposeCode_PurposeFailureName_Concatenated","DWC_PersonnelCode_Concatenated","DWC_GroupSamples_GroupName_Concatenated","DWC_FundingCode_Concatenated","DWC_GroupProjectsLookUp_GroupName_Concatenated","DWC_GroupStationsLookUp_GroupName_Concatenated","GeometryShape","OccupationMethod","StartingBank","DistanceFromBank","UnitDistanceFromBank","StreamWidth","UnitStreamWidth","StationWaterDepth","UnitStationWaterDepth","Hydromod","HydromodLoc","LocationDetailWQComments","UnitCollectionDepth","PositionWaterColumn","FieldCollectionComments","CollectionComplete","MatrixCode","MatrixName","MethodCode","MethodName","AnalyteCode","AnalyteName","FractionCode","FractionName","UnitCode","UnitName","DWC_AnalyteWFractionWMatrixWUnit","FieldReplicate","Result","ResQualCode","ResQualName","QACode","DWC_QADescr_Expanded","ComplianceCode","ComplianceName","BatchVerificationCode","DWC_BatchVerificationDescr_Expanded","CollectionDeviceDescr","CalibrationDate","FieldResultComments","ExportData",
"03/23/2015","3","2015","911S01142","Pine Valley Creek ~0.9mi below Espinosa Cr.","RWB9_NPS_2015","RWB9 Nonperennial Stream Study 2015","SWAMP_2007_WS","BA","RWQCB9","","BlockA, Left","","","","","True","9","Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None","Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"03/23/2015","3","2015","911S01142","Pine Valley Creek ~0.9mi below Espinosa Cr.","RWB9_NPS_2015","RWB9 Nonperennial Stream Study 2015","SWAMP_2007_WS","BA","RWQCB9","","BlockA, Right","","","","","True","9","Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None","Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"03/23/2015","3","2015","911S01142","Pine Valley Creek ~0.9mi below Espinosa Cr.","RWB9_NPS_2015","RWB9 Nonperennial Stream Study 2015","SWAMP_2007_WS","BA","RWQCB9","","BlockA","","","","","True","9","Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None","Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"03/23/2015","3","2015","911S01142","Pine Valley Creek ~0.9mi below Espinosa Cr.","RWB9_NPS_2015","RWB9 Nonperennial Stream Study 2015","SWAMP_2007_WS","BA","RWQCB9","","BlockB, Left","","","","","True","9","Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None","Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"03/23/2015","3","2015","911S01142","Pine Valley Creek ~0.9mi below Espinosa Cr.","RWB9_NPS_2015","RWB9 Nonperennial Stream Study 2015","SWAMP_2007_WS","BA","RWQCB9","","BlockB","","","","","True","9","Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None","Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"03/23/2015","3","2015","911S01142","Pine Valley Creek ~0.9mi below Espinosa Cr.","RWB9_NPS_2015","RWB9 Nonperennial Stream Study 2015","SWAMP_2007_WS","BA","RWQCB9","","BlockB, Right","","","","","True","9","Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None","Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"03/23/2015","3","2015","911S01142","Pine Valley Creek ~0.9mi below Espinosa Cr.","RWB9_NPS_2015","RWB9 Nonperennial Stream Study 2015","SWAMP_2007_WS","BA","RWQCB9","","BlockE, Left","","","","","True","9","Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None","Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"03/23/2015","3","2015","911S01142","Pine Valley Creek ~0.9mi below Espinosa Cr.","RWB9_NPS_2015","RWB9 Nonperennial Stream Study 2015","SWAMP_2007_WS","BA","RWQCB9","","BlockC","","","","","True","9","Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None","Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"03/23/2015","3","2015","911S01142","Pine Valley Creek ~0.9mi below Espinosa Cr.","RWB9_NPS_2015","RWB9 Nonperennial Stream Study 2015","SWAMP_2007_WS","BA","RWQCB9","","BlockD, Right","","","","","True","9","Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None","Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"03/23/2015","3","2015","911S01142","Pine Valley Creek ~0.9mi below Espinosa Cr.","RWB9_NPS_2015","RWB9 Nonperennial Stream Study 2015","SWAMP_2007_WS","BA","RWQCB9","","BlockC, Left","","","","","True","9","Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None","Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
